Season,Rank,Team,Playoff,W,L,W/L%,GB,PS/G,PA/G,SRS
2022,1,Miami Heat,Yes,53,29,0.646,—,110,105.6,4.23
2022,2,Boston Celtics,Yes,51,31,0.622,2,111.8,104.5,7.02
2022,3,Milwaukee Bucks,Yes,51,31,0.622,2,115.5,112.1,3.22
2022,4,Philadelphia 76ers,Yes,51,31,0.622,2,109.9,107.3,2.57
2022,5,Toronto Raptors,Yes,48,34,0.585,5,109.4,107.1,2.38
2022,6,Chicago Bulls,Yes,46,36,0.561,7,111.6,112,-0.38
2022,7,Brooklyn Nets,Yes,44,38,0.537,9,112.9,112.1,0.82
2022,8,Cleveland Cavaliers,No,44,38,0.537,9,107.8,105.7,2.04
2022,9,Atlanta Hawks,Yes,43,39,0.524,10,113.9,112.4,1.55
2022,10,Charlotte Hornets,No,43,39,0.524,10,115.3,114.9,0.53
2022,11,New York Knicks,No,37,45,0.451,16,106.5,106.6,-0.01
2022,12,Washington Wizards,No,35,47,0.427,18,108.6,112,-3.23
2022,13,Indiana Pacers,No,25,57,0.305,28,111.5,114.9,-3.26
2022,14,Detroit Pistons,No,23,59,0.28,30,104.8,112.5,-7.36
2022,15,Orlando Magic,No,22,60,0.268,31,104.2,112.2,-7.67
2022,1,Phoenix Suns,Yes,64,18,0.78,—,114.8,107.3,6.94
2022,2,Memphis Grizzlies,Yes,56,26,0.683,8,115.6,109.9,5.37
2022,3,Golden State Warriors,Yes,53,29,0.646,11,111,105.5,5.52
2022,4,Dallas Mavericks,Yes,52,30,0.634,12,108,104.7,3.12
2022,5,Utah Jazz,Yes,49,33,0.598,15,113.6,107.6,5.67
2022,6,Denver Nuggets,Yes,48,34,0.585,16,112.7,110.4,2.16
2022,7,Minnesota Timberwolves,Yes,46,36,0.561,18,115.9,113.3,2.53
2022,8,Los Angeles Clippers,No,42,40,0.512,22,108.4,108.4,0.09
2022,9,New Orleans Pelicans,Yes,36,46,0.439,28,109.3,110.3,-0.84
2022,10,San Antonio Spurs,No,34,48,0.415,30,113.2,113,0.02
2022,11,Los Angeles Lakers,No,33,49,0.402,31,112.1,115.1,-3.08
2022,12,Sacramento Kings,No,30,52,0.366,34,110.3,115.8,-5.26
2022,13,Portland Trail Blazers,No,27,55,0.329,37,106.2,115.1,-8.55
2022,14,Oklahoma City Thunder,No,24,58,0.293,40,103.7,111.8,-7.9
2022,15,Houston Rockets,No,20,62,0.244,44,109.7,118.2,-8.26
